p,t,n,k,avg_entropy_bits,trials_counted
11,2,5,0,3.4422020420721786,400
11,2,5,1,3.2181359849343742,400
11,4,7,0,3.441501228951451,400
11,4,7,1,3.442120214166488,400
11,4,7,2,3.4065284472917874,400
11,4,7,3,3.19159723202529,400
11,6,9,0,3.44149464764366,400
11,6,9,1,3.441646640323739,400
11,6,9,2,3.441529027824612,400
11,6,9,3,3.4417608088767495,400
11,6,9,4,3.4159632049893958,400
11,6,9,5,3.216140324780918,400
11,8,11,0,3.4411875469116495,400
11,8,11,1,3.441267780259575,400
11,8,11,2,3.441101131366714,400
11,8,11,3,3.4419141885539855,400
11,8,11,4,3.4413976381904443,400
11,8,11,5,3.432889370571827,400
11,8,11,6,3.3984158435320597,400
11,8,11,7,3.1662501325120576,400
23,2,5,0,4.483159228881983,400
23,2,5,1,4.293916354669704,400
23,4,7,0,4.484394772896001,400
23,4,7,1,4.484093758803707,400
23,4,7,2,4.460552541334624,400
23,4,7,3,4.281237126122083,400
23,6,9,0,4.4838239530049036,400
23,6,9,1,4.483174281575788,400
23,6,9,2,4.4841659285489355,400
23,6,9,3,4.4726224283828415,400
23,6,9,4,4.472795001399634,400
23,6,9,5,4.326235225984016,400
23,8,11,0,4.483334740910608,400
23,8,11,1,4.483722407977264,400
23,8,11,2,4.484211172354188,400
23,8,11,3,4.482882770273345,400
23,8,11,4,4.483739244464028,400
23,8,11,5,4.483685534780844,400
23,8,11,6,4.483394496432147,400
23,8,11,7,4.29235948561626,400
101,2,5,0,6.4653499310158615,400
101,2,5,1,6.401482819810573,400
101,4,7,0,6.467696342459924,400
101,4,7,1,6.465387065763738,400
101,4,7,2,6.464006510225938,400
101,4,7,3,6.434397472856721,400
101,6,9,0,6.467464541240239,400
101,6,9,1,6.466219892404062,400
101,6,9,2,6.464635967665049,400
101,6,9,3,6.466374191380878,400
101,6,9,4,6.46577548802585,400
101,6,9,5,6.417698606036247,400
101,8,11,0,6.463498765043682,400
101,8,11,1,6.465662059755731,400
101,8,11,2,6.4663372755330455,400
101,8,11,3,6.466723120016492,400
101,8,11,4,6.4670291589851265,400
101,8,11,5,6.4655567702683285,400
101,8,11,6,6.466048429881149,400
101,8,11,7,6.4358080172368295,400
