p,t,n,k,I_bits
11,2,5,0,-7.194245199571014e-14
11,2,5,1,3.4594316186372613
11,4,7,0,-1.438849039914203e-13
11,4,7,1,3.4594316186372733
11,4,7,2,6.918863237274523
11,4,7,3,10.34946625908988
11,6,9,0,-4.618527782440651e-14
11,6,9,1,3.4594316186374243
11,6,9,2,6.9188632372744525
11,6,9,3,10.372529136547474
11,6,9,4,13.837726474549118
11,6,9,5,17.262563777000082
11,8,11,0,-2.877698079828406e-13
11,8,11,1,3.459431618637055
11,8,11,2,6.918863237274547
11,8,11,3,10.378294855912017
11,8,11,4,13.837726474549045
11,8,11,5,17.29715809318646
11,8,11,6,20.750823992459317
11,8,11,7,24.181427014274675
23,2,5,0,-3.019806626980426e-14
23,2,5,1,4.523561956056998
23,4,7,0,-6.039613253960852e-14
23,4,7,1,4.5235619560572395
23,4,7,2,9.039584642187235
23,4,7,3,13.563146598244263
23,6,9,0,4.547473508864641e-13
23,6,9,1,4.523561956056778
23,6,9,2,9.047123912113967
23,6,9,3,13.570685868171267
23,6,9,4,18.094247824228024
23,6,9,5,22.61027051035829
23,8,11,0,-1.2079226507921703e-13
23,8,11,1,4.523561956057392
23,8,11,2,9.047123912114479
23,8,11,3,13.570685868170802
23,8,11,4,18.094247824227992
23,8,11,5,22.61780978028529
23,8,11,6,27.141371736342048
23,8,11,7,31.657394422472315
101,2,5,0,-1.7053025658242404e-13
101,2,5,1,6.658211482751709
101,4,7,0,-3.410605131648481e-13
101,4,7,1,6.658211482751682
101,4,7,2,13.316422965503419
101,4,7,3,19.974634448255298
101,6,9,0,-2.2737367544323206e-13
101,6,9,1,6.658211482751746
101,6,9,2,13.316422965503246
101,6,9,3,19.97463444825527
101,6,9,4,26.632845931007004
101,6,9,5,33.291057413758885
101,8,11,0,-6.821210263296962e-13
101,8,11,1,6.6582114827523995
101,8,11,2,13.316422965503364
101,8,11,3,19.974634448255337
101,8,11,4,26.632845931006838
101,8,11,5,33.291057413758864
101,8,11,6,39.949268896510596
101,8,11,7,46.596383360124555
